Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15
Total,Primera,420.0,5198.0,8338.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,9054.0,10497.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10703.0,12821.0,13778.0,13801.0,13801.0,24836.0,44187.0,53491.0,56552.0,56964.0,56964.0,56964.0,56981.0,57002.0,57003.0,57003.0,57003.0,57004.0,57004.0,57004.0,70185.0,240598.0,414675.0,583375.0,611223.0,619859.0,841388.0,1083908.0,1356497.0,1607799.0,1837094.0,1866601.0,1871067.0,2136974.0,2357033.0,2545142.0,2700435.0,2842614.0,2852253.0,2853417.0,2961546.0,3055783.0,3141901.0,3227842.0,3305947.0,3315920.0,3316275.0,3453402.0,3612321.0,3770158.0,3914848.0,4051132.0,4060776.0,4061841.0,4198435.0,4337426.0,4473180.0,4644606.0,4795808.0,4820104.0,4822850.0,4980552.0,5146862.0,5297655.0,5445625.0,5581438.0,5604582.0,5607427.0,5751342.0,5898262.0,6051071.0,6207542.0,6373449.0,6386312.0,6387281.0,6538035.0,6671286.0,6797805.0,6932116.0,6933963.0,6935838.0,6936494.0,7015976.0,7108502.0,7202832.0,7279061.0,7349399.0,7360489.0,7361576.0,7439188.0,7513595.0,7592320.0,7653856.0,7711613.0,7719429.0,7720287.0,7763886.0,7802742.0,7833665.0,7889717.0,7929351.0,7935050.0,7935398.0,7978193.0,8016924.0,8060175.0,8090822.0,8141341.0,8142389.0,8143154.0,8218893.0,8299701.0,8380964.0,8462254.0,8545632.0,8562906.0,8563863.0,8666851.0,8773731.0,8877931.0,8974043.0,9075588.0,9076487.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.0,5825.0,8299.0,8366.0,8366.0,8366.0,8368.0,8368.0,8368.0,8368.0,8368.0,8368.0,9771.0,10366.0,10400.0,10400.0,10405.0,10405.0,10405.0,10405.0,10411.0,10411.0,12519.0,13189.0,13194.0,13195.0,24958.0,44329.0,52664.0,55545.0,55755.0,55789.0,55789.0,55789.0,55799.0,55799.0,55799.0,55799.0,55799.0,55799.0,55820.0,55860.0,56033.0,56177.0,56295.0,56299.0,56299.0,56706.0,69118.0,223167.0,388977.0,550521.0,574646.0,581540.0,795519.0,1032997.0,1298449.0,1543936.0,1767026.0,1793155.0,1796989.0,2069385.0,2312819.0,2528816.0,2714872.0,2869612.0,2880595.0,2881770.0,3003691.0,3094205.0,3158960.0,3214147.0,3265063.0,3267806.0,3268227.0,3383684.0,3528232.0,3681357.0,3849781.0,3854950.0,3856292.0,3856751.0,4061414.0,4207855.0,4346061.0,4508667.0,4656598.0,4671416.0,4672773.0,4831353.0,4991051.0,5140429.0,5284305.0,5416878.0,5431208.0,5432959.0,5581305.0,5728036.0,5872830.0,6015938.0,6158968.0,6170826.0,6171511.0,6324285.0,6455729.0,6580458.0,6704402.0,6741064.0,6742264.0,6742920.0,6818192.0,6906089.0,6998986.0,7075027.0,7138276.0,7146391.0,7146832.0,7216633.0,7301008.0,7378487.0,7438195.0,7493079.0,7493438.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629.0,1702.0,1975.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2262.0,3566.0,4934.0,6070.0,6088.0,6088.0,7325.0,8482.0,10109.0,11448.0,12804.0,12852.0,12860.0,14378.0,15637.0,16885.0,18234.0,19482.0,19563.0,19563.0,20356.0,21137.0,21840.0,22521.0,22894.0,22905.0,22905.0,23544.0,24359.0,25282.0,26011.0,26755.0,26760.0,26760.0,27296.0,27890.0,28421.0,29113.0,29696.0,29711.0,29711.0,30457.0,31320.0,32112.0,32898.0,33451.0,33471.0,33471.0,34045.0,34741.0,35281.0,35850.0,36400.0,36400.0,36400.0,37002.0,37635.0,38177.0,38771.0,38771.0,38835.0,38837.0,39252.0,39649.0,40013.0,40320.0,40607.0,40609.0,40609.0,40990.0,41340.0,41692.0,42012.0,42309.0,42312.0,42312.0,42574.0,42922.0,43171.0,43504.0,43806.0,43822.0,43822.0,44114.0,44374.0,44704.0,45068.0,45489.0,45590.0,45590.0,46067.0,46536.0,46920.0,47330.0,47649.0,47684.0,47684.0,48112.0,48568.0,49050.0,49406.0,49785.0,49864.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1681.0,1926.0,1998.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,2000.0,2005.0,2009.0,2015.0,2027.0,2027.0,2027.0,2029.0,2259.0,3391.0,4759.0,5829.0,5849.0,5849.0,7047.0,8204.0,9765.0,11077.0,12333.0,12366.0,12373.0,13952.0,15419.0,16843.0,18437.0,19741.0,19810.0,19810.0,20708.0,21614.0,22079.0,22494.0,22809.0,22809.0,22809.0,23356.0,23947.0,24761.0,25538.0,25544.0,25544.0,25544.0,26297.0,26940.0,27480.0,28006.0,28532.0,28538.0,28538.0,29367.0,30281.0,31106.0,31752.0,32333.0,32337.0,32337.0,32890.0,33580.0,34120.0,34650.0,35189.0,35202.0,35203.0,35833.0,36368.0,36919.0,37529.0,37718.0,37718.0,37718.0,38057.0,38471.0,38868.0,39186.0,39446.0,39457.0,39457.0,39774.0,40166.0,40513.0,40729.0,40922.0,40931.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6328.0,9316.0,12790.0,15849.0,16033.0,16033.0,19617.0,24047.0,29754.0,36322.0,42671.0,43441.0,43446.0,50647.0,56069.0,60866.0,64998.0,69041.0,69196.0,69196.0,73109.0,76677.0,79903.0,82250.0,84796.0,84796.0,84796.0,88970.0,93729.0,98469.0,102834.0,106580.0,106587.0,106587.0,110875.0,116066.0,120686.0,126408.0,131610.0,131730.0,131730.0,136779.0,142262.0,148246.0,153435.0,158437.0,158799.0,158843.0,164759.0,170825.0,176447.0,181696.0,186910.0,187295.0,187481.0,192995.0,198083.0,203023.0,207728.0,208021.0,208477.0,208672.0,211821.0,215294.0,219095.0,222157.0,224710.0,225223.0,225367.0,228648.0,231747.0,234814.0,237425.0,239950.0,240933.0,241067.0,242524.0,243514.0,244381.0,245954.0,247067.0,247611.0,247636.0,248591.0,249500.0,250397.0,251103.0,252491.0,252524.0,252560.0,255396.0,258761.0,261946.0,265105.0,267970.0,269199.0,269453.0,273324.0,277192.0,280785.0,284208.0,287889.0,288033.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5875.0,5875.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5892.0,6005.0,6024.0,6027.0,6028.0,6028.0,6030.0,6551.0,9495.0,12764.0,15425.0,15494.0,15494.0,19042.0,23371.0,28861.0,35196.0,41261.0,41823.0,41823.0,49760.0,56568.0,62590.0,67420.0,72054.0,72206.0,72211.0,75778.0,78310.0,80374.0,82129.0,83716.0,83719.0,83739.0,87313.0,91718.0,96103.0,101104.0,101136.0,101142.0,101148.0,107372.0,112564.0,117283.0,121286.0,127084.0,127290.0,127304.0,132746.0,137861.0,143229.0,148276.0,152750.0,153471.0,153525.0,159625.0,165044.0,170194.0,175245.0,180028.0,180579.0,180741.0,185825.0,189507.0,193591.0,198611.0,200483.0,200642.0,200772.0,203987.0,207529.0,211498.0,214475.0,217028.0,217581.0,217702.0,220505.0,223766.0,226678.0,228845.0,231177.0,231246.0
Arica y Parinacota,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,895.0,2123.0,2811.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2968.0,4410.0,7243.0,9637.0,9941.0,9975.0,12404.0,14953.0,17968.0,20725.0,23606.0,23722.0,23722.0,26370.0,28443.0,30600.0,32730.0,34789.0,34844.0,34844.0,36836.0,38747.0,40069.0,41206.0,43258.0,43453.0,43453.0,44934.0,46141.0,47154.0,47982.0,48990.0,49056.0,49058.0,50188.0,51208.0,52438.0,54082.0,55419.0,55519.0,55519.0,56786.0,58448.0,59982.0,62130.0,63226.0,63290.0,63290.0,64454.0,65757.0,67186.0,68679.0,70214.0,70313.0,70313.0,71669.0,73048.0,74257.0,75421.0,75507.0,75649.0,75650.0,76621.0,78009.0,78936.0,79871.0,80130.0,80131.0,80131.0,81055.0,81975.0,82986.0,83709.0,84403.0,84434.0,84434.0,85178.0,85931.0,86612.0,87590.0,87995.0,88056.0,88056.0,88662.0,89416.0,90001.0,90425.0,90868.0,90872.0,90872.0,91739.0,92552.0,93683.0,94619.0,95417.0,95498.0,95498.0,96657.0,97951.0,99107.0,100143.0,101240.0,101295.0
Arica y Parinacota,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,882.0,2089.0,2732.0,2800.0,2803.0,2803.0,2803.0,2803.0,2803.0,2803.0,2803.0,2803.0,2803.0,2803.0,2804.0,2819.0,2830.0,2842.0,2850.0,2851.0,2851.0,2853.0,2914.0,4167.0,7001.0,9229.0,9487.0,9513.0,11808.0,14318.0,17139.0,19882.0,22718.0,22812.0,22812.0,25752.0,28582.0,31264.0,33741.0,35877.0,35922.0,35922.0,38030.0,40131.0,41343.0,42148.0,42911.0,42917.0,42917.0,43799.0,44834.0,45662.0,46537.0,46543.0,46546.0,46547.0,48103.0,49391.0,50623.0,52151.0,53241.0,53293.0,53293.0,54068.0,55796.0,57490.0,59316.0,60230.0,60282.0,60284.0,60932.0,62871.0,64377.0,65096.0,66534.0,66552.0,66555.0,68144.0,69788.0,71093.0,72159.0,72544.0,72544.0,72545.0,73452.0,74552.0,75419.0,75602.0,75815.0,75823.0,75823.0,76983.0,78177.0,79024.0,79529.0,80124.0,80138.0
Atacama,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,1640.0,2511.0,3601.0,3866.0,3866.0,3866.0,3866.0,3868.0,3868.0,3868.0,3868.0,3868.0,3868.0,3868.0,3870.0,9463.0,15284.0,19995.0,20449.0,20449.0,24047.0,26461.0,28692.0,30757.0,33266.0,33743.0,33743.0,35824.0,37665.0,39557.0,41496.0,42577.0,42630.0,42632.0,44547.0,46978.0,49314.0,51598.0,53128.0,53205.0,53205.0,54585.0,55769.0,56736.0,57888.0,59905.0,60204.0,60204.0,62179.0,64129.0,65974.0,68028.0,70052.0,70156.0,70156.0,72487.0,74796.0,77003.0,79156.0,80875.0,80876.0,80888.0,83352.0,85901.0,88369.0,90630.0,93044.0,93044.0,93044.0,95226.0,97284.0,99017.0,100678.0,100678.0,100678.0,100678.0,102277.0,103792.0,105543.0,106733.0,108240.0,108371.0,108371.0,108787.0,110310.0,111702.0,112818.0,113837.0,113837.0,113837.0,114944.0,116305.0,117211.0,118260.0,119171.0,119171.0,119171.0,119962.0,121080.0,122171.0,123017.0,124102.0,124102.0,124102.0,125571.0,127097.0,128406.0,129725.0,131118.0,131307.0,131307.0,132833.0,134490.0,135984.0,137275.0,138790.0,138790.0
Atacama,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,8.0,504.0,1742.0,2658.0,3652.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3738.0,3765.0,3765.0,3765.0,3774.0,4446.0,9439.0,14626.0,19091.0,19514.0,19515.0,22979.0,25405.0,27625.0,29701.0,32137.0,32505.0,32505.0,34944.0,37668.0,40530.0,42361.0,43593.0,43617.0,43622.0,45295.0,46981.0,48349.0,50244.0,51570.0,51571.0,51571.0,52637.0,53895.0,55335.0,56832.0,56833.0,56833.0,56833.0,59451.0,61497.0,63272.0,65188.0,66757.0,66763.0,66763.0,68694.0,71280.0,73476.0,75658.0,77460.0,77466.0,77466.0,79507.0,81966.0,84227.0,86422.0,88184.0,88188.0,88188.0,89503.0,91715.0,93933.0,95729.0,96512.0,96512.0,96512.0,97722.0,99162.0,100890.0,102023.0,102994.0,103058.0,103058.0,103910.0,105515.0,106668.0,107666.0,108338.0,108338.0
Coquimbo,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2497.0,6200.0,8199.0,8707.0,8769.0,8769.0,8769.0,8769.0,8769.0,8769.0,8769.0,8769.0,8769.0,8769.0,8769.0,8769.0,12772.0,17624.0,22449.0,22457.0,22457.0,30305.0,39188.0,49268.0,58821.0,67655.0,68136.0,68136.0,79328.0,88170.0,96220.0,103138.0,109618.0,109662.0,109667.0,115878.0,121136.0,125792.0,130608.0,134569.0,134705.0,134705.0,142162.0,150175.0,157747.0,164110.0,169668.0,169720.0,169720.0,175718.0,181966.0,187663.0,194173.0,199855.0,200061.0,200061.0,206442.0,213108.0,218877.0,224495.0,229763.0,229865.0,229865.0,235701.0,241491.0,247592.0,253904.0,260620.0,261053.0,261053.0,266892.0,272415.0,277453.0,283043.0,283052.0,283052.0,283054.0,286967.0,291558.0,295899.0,299756.0,303279.0,303368.0,303368.0,307142.0,310585.0,313929.0,316800.0,319723.0,319803.0,319803.0,322403.0,324513.0,326442.0,329135.0,331320.0,331415.0,331416.0,333742.0,336017.0,338342.0,340514.0,342447.0,342462.0,342462.0,346051.0,349764.0,353517.0,357046.0,360582.0,360745.0,360745.0,365265.0,370028.0,374455.0,378589.0,382623.0,382649.0
Coquimbo,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2759.0,6440.0,8055.0,8558.0,8570.0,8604.0,8604.0,8604.0,8604.0,8604.0,8604.0,8604.0,8604.0,8604.0,8606.0,8610.0,8623.0,8652.0,8655.0,8655.0,8655.0,8659.0,8723.0,12401.0,16992.0,21504.0,21523.0,21524.0,28960.0,37524.0,47556.0,56816.0,65390.0,65747.0,65749.0,77805.0,87996.0,97586.0,106610.0,114024.0,114072.0,114075.0,121301.0,125516.0,128641.0,131109.0,133521.0,133599.0,133600.0,139231.0,146289.0,153400.0,159962.0,160064.0,160066.0,160069.0,169767.0,176565.0,182396.0,189223.0,194519.0,194691.0,194692.0,201037.0,207284.0,212885.0,218244.0,223363.0,223458.0,223461.0,229598.0,235021.0,240773.0,246456.0,252281.0,252542.0,252544.0,257999.0,262677.0,268468.0,273828.0,275384.0,275386.0,275391.0,278938.0,283000.0,287384.0,291075.0,294468.0,294515.0,294518.0,298128.0,301640.0,304914.0,307760.0,310199.0,310225.0
