Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11
Total,Primera,420.0,5198.0,8338.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,9054.0,10497.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10703.0,12821.0,13778.0,13801.0,13801.0,24836.0,44187.0,53491.0,56552.0,56964.0,56964.0,56964.0,56981.0,57002.0,57003.0,57003.0,57003.0,57004.0,57004.0,57004.0,70185.0,240600.0,414676.0,583378.0,611226.0,619862.0,841392.0,1083912.0,1356500.0,1607800.0,1837094.0,1866601.0,1871067.0,2136975.0,2357034.0,2545145.0,2700438.0,2842618.0,2852257.0,2853421.0,2961549.0,3055786.0,3141905.0,3227845.0,3305949.0,3315923.0,3316278.0,3453406.0,3612326.0,3770162.0,3914851.0,4051133.0,4060777.0,4061842.0,4198435.0,4337429.0,4473182.0,4644604.0,4795806.0,4820102.0,4822848.0,4980549.0,5146853.0,5297645.0,5445615.0,5581426.0,5604570.0,5607415.0,5751330.0,5898248.0,6051059.0,6207526.0,6373432.0,6386295.0,6387264.0,6538016.0,6671269.0,6797785.0,6932091.0,6933937.0,6935812.0,6936468.0,7015946.0,7108469.0,7202798.0,7279024.0,7349334.0,7360418.0,7361503.0,7439091.0,7513470.0,7592123.0,7653565.0,7711195.0,7719007.0,7719865.0,7763460.0,7802303.0,7833219.0,7889256.0,7928879.0,7934578.0,7934926.0,7977713.0,8016438.0,8059681.0,8090321.0,8140835.0,8141881.0,8142646.0,8218370.0,8299167.0,8380405.0,8461580.0,8544831.0,8562101.0,8563058.0,8665488.0,8767853.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.0,5825.0,8299.0,8366.0,8366.0,8366.0,8368.0,8368.0,8368.0,8368.0,8368.0,8368.0,9771.0,10366.0,10400.0,10400.0,10405.0,10405.0,10405.0,10405.0,10411.0,10411.0,12519.0,13189.0,13194.0,13195.0,24963.0,44324.0,52656.0,55537.0,55747.0,55781.0,55781.0,55781.0,55791.0,55791.0,55791.0,55791.0,55791.0,55791.0,55812.0,55852.0,56025.0,56169.0,56287.0,56291.0,56291.0,56698.0,69110.0,223153.0,388961.0,550506.0,574631.0,581525.0,795500.0,1032973.0,1298423.0,1543907.0,1766990.0,1793117.0,1796951.0,2069342.0,2312774.0,2528766.0,2714822.0,2869559.0,2880542.0,2881717.0,3003637.0,3094150.0,3158905.0,3214091.0,3265006.0,3267749.0,3268170.0,3383626.0,3528171.0,3681294.0,3849713.0,3854881.0,3856223.0,3856682.0,4061338.0,4207776.0,4345974.0,4508567.0,4656487.0,4671305.0,4672662.0,4831233.0,4990918.0,5140284.0,5284095.0,5416644.0,5430974.0,5432725.0,5581064.0,5727786.0,5872573.0,6015678.0,6158697.0,6170555.0,6171240.0,6323995.0,6455429.0,6580141.0,6704068.0,6740718.0,6741918.0,6742574.0,6817837.0,6905694.0,6998461.0,7074416.0,7137482.0,7145591.0,7146032.0,7215410.0,7296374.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629.0,1702.0,1975.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2262.0,3566.0,4934.0,6070.0,6088.0,6088.0,7325.0,8482.0,10109.0,11448.0,12804.0,12852.0,12860.0,14378.0,15637.0,16885.0,18234.0,19483.0,19564.0,19564.0,20357.0,21138.0,21841.0,22522.0,22895.0,22906.0,22906.0,23545.0,24361.0,25284.0,26013.0,26757.0,26762.0,26762.0,27298.0,27892.0,28423.0,29115.0,29698.0,29713.0,29713.0,30459.0,31322.0,32113.0,32900.0,33453.0,33473.0,33473.0,34047.0,34743.0,35283.0,35852.0,36402.0,36402.0,36402.0,37004.0,37637.0,38179.0,38773.0,38773.0,38837.0,38839.0,39254.0,39651.0,40015.0,40322.0,40609.0,40611.0,40611.0,40991.0,41341.0,41693.0,42013.0,42310.0,42313.0,42313.0,42575.0,42923.0,43172.0,43505.0,43807.0,43823.0,43823.0,44115.0,44375.0,44705.0,45069.0,45490.0,45591.0,45591.0,46068.0,46537.0,46921.0,47331.0,47650.0,47685.0,47685.0,48113.0,48534.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1681.0,1926.0,1998.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,2000.0,2005.0,2009.0,2015.0,2027.0,2027.0,2027.0,2029.0,2259.0,3390.0,4757.0,5827.0,5847.0,5847.0,7045.0,8202.0,9763.0,11075.0,12331.0,12364.0,12371.0,13950.0,15417.0,16840.0,18434.0,19738.0,19807.0,19807.0,20705.0,21611.0,22076.0,22491.0,22806.0,22806.0,22806.0,23353.0,23943.0,24757.0,25534.0,25540.0,25540.0,25540.0,26293.0,26936.0,27476.0,28002.0,28528.0,28534.0,28534.0,29363.0,30276.0,31101.0,31747.0,32328.0,32332.0,32332.0,32885.0,33575.0,34115.0,34645.0,35184.0,35197.0,35198.0,35828.0,36363.0,36914.0,37524.0,37713.0,37713.0,37713.0,38052.0,38466.0,38863.0,39181.0,39441.0,39452.0,39452.0,39769.0,40125.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6328.0,9316.0,12790.0,15849.0,16033.0,16033.0,19617.0,24047.0,29754.0,36322.0,42671.0,43441.0,43446.0,50647.0,56069.0,60866.0,64998.0,69041.0,69196.0,69196.0,73109.0,76677.0,79903.0,82250.0,84796.0,84796.0,84796.0,88970.0,93729.0,98469.0,102834.0,106580.0,106587.0,106587.0,110875.0,116066.0,120686.0,126408.0,131610.0,131730.0,131730.0,136779.0,142262.0,148246.0,153435.0,158437.0,158799.0,158843.0,164759.0,170823.0,176445.0,181694.0,186908.0,187293.0,187479.0,192994.0,198083.0,203023.0,207728.0,208020.0,208476.0,208671.0,211818.0,215291.0,219092.0,222154.0,224706.0,225217.0,225361.0,228641.0,231740.0,234805.0,237413.0,239936.0,240919.0,241053.0,242509.0,243499.0,244366.0,245939.0,247052.0,247596.0,247621.0,248574.0,249484.0,250381.0,251087.0,252475.0,252508.0,252544.0,255380.0,258745.0,261933.0,265092.0,267957.0,269185.0,269439.0,273310.0,277113.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5875.0,5875.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5892.0,6005.0,6024.0,6027.0,6028.0,6028.0,6030.0,6551.0,9495.0,12764.0,15425.0,15494.0,15494.0,19042.0,23371.0,28861.0,35196.0,41261.0,41822.0,41822.0,49759.0,56566.0,62588.0,67418.0,72052.0,72204.0,72209.0,75776.0,78308.0,80372.0,82127.0,83714.0,83717.0,83737.0,87311.0,91716.0,96101.0,101102.0,101134.0,101140.0,101146.0,107370.0,112562.0,117281.0,121284.0,127081.0,127287.0,127301.0,132742.0,137857.0,143225.0,148272.0,152746.0,153467.0,153521.0,159621.0,165037.0,170184.0,175235.0,180018.0,180569.0,180731.0,185815.0,189497.0,193579.0,198599.0,200470.0,200629.0,200759.0,203972.0,207514.0,211481.0,214458.0,217010.0,217560.0,217681.0,220482.0,223699.0
Arica y Parinacota,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,895.0,2123.0,2811.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2968.0,4410.0,7243.0,9637.0,9941.0,9975.0,12404.0,14953.0,17968.0,20725.0,23606.0,23722.0,23722.0,26370.0,28443.0,30600.0,32730.0,34789.0,34844.0,34844.0,36836.0,38747.0,40069.0,41206.0,43258.0,43453.0,43453.0,44934.0,46141.0,47154.0,47982.0,48990.0,49056.0,49058.0,50188.0,51208.0,52438.0,54082.0,55419.0,55519.0,55519.0,56786.0,58448.0,59982.0,62130.0,63225.0,63289.0,63289.0,64453.0,65756.0,67185.0,68678.0,70213.0,70312.0,70312.0,71668.0,73047.0,74255.0,75419.0,75505.0,75647.0,75648.0,76619.0,78007.0,78934.0,79867.0,80126.0,80127.0,80127.0,81051.0,81971.0,82979.0,83702.0,84392.0,84423.0,84423.0,85167.0,85920.0,86601.0,87579.0,87984.0,88045.0,88045.0,88651.0,89405.0,89990.0,90414.0,90857.0,90859.0,90859.0,91726.0,92539.0,93670.0,94584.0,95383.0,95464.0,95464.0,96611.0,97824.0
Arica y Parinacota,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,882.0,2089.0,2732.0,2800.0,2803.0,2803.0,2803.0,2803.0,2803.0,2803.0,2803.0,2803.0,2803.0,2803.0,2804.0,2819.0,2830.0,2842.0,2850.0,2851.0,2851.0,2853.0,2914.0,4167.0,7001.0,9229.0,9487.0,9513.0,11808.0,14318.0,17139.0,19882.0,22718.0,22812.0,22812.0,25752.0,28582.0,31264.0,33741.0,35877.0,35922.0,35922.0,38030.0,40131.0,41343.0,42148.0,42911.0,42917.0,42917.0,43799.0,44833.0,45661.0,46536.0,46542.0,46545.0,46546.0,48102.0,49390.0,50621.0,52138.0,53227.0,53279.0,53279.0,54053.0,55778.0,57471.0,59297.0,60211.0,60263.0,60265.0,60913.0,62851.0,64356.0,65075.0,66513.0,66531.0,66534.0,68118.0,69760.0,71065.0,72130.0,72513.0,72513.0,72514.0,73421.0,74491.0,75358.0,75540.0,75753.0,75761.0,75761.0,76905.0,77898.0
Atacama,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,1640.0,2511.0,3601.0,3866.0,3866.0,3866.0,3866.0,3868.0,3868.0,3868.0,3868.0,3868.0,3868.0,3868.0,3870.0,9463.0,15284.0,19995.0,20449.0,20449.0,24047.0,26461.0,28692.0,30757.0,33266.0,33743.0,33743.0,35824.0,37665.0,39557.0,41496.0,42577.0,42630.0,42632.0,44547.0,46978.0,49315.0,51599.0,53129.0,53206.0,53206.0,54586.0,55770.0,56737.0,57888.0,59905.0,60204.0,60204.0,62179.0,64129.0,65974.0,68028.0,70052.0,70156.0,70156.0,72488.0,74797.0,77004.0,79157.0,80876.0,80877.0,80889.0,83353.0,85902.0,88370.0,90631.0,93045.0,93045.0,93045.0,95227.0,97285.0,99018.0,100679.0,100679.0,100679.0,100679.0,102278.0,103793.0,105543.0,106733.0,108239.0,108369.0,108369.0,108785.0,110306.0,111697.0,112811.0,113829.0,113829.0,113829.0,114936.0,116297.0,117203.0,118252.0,119160.0,119160.0,119160.0,119951.0,121069.0,122160.0,123006.0,124091.0,124091.0,124091.0,125560.0,127080.0,128375.0,129691.0,131048.0,131237.0,131237.0,132664.0,134233.0
Atacama,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,8.0,504.0,1742.0,2658.0,3652.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3738.0,3765.0,3765.0,3765.0,3774.0,4446.0,9439.0,14625.0,19090.0,19513.0,19514.0,22977.0,25402.0,27622.0,29697.0,32132.0,32500.0,32500.0,34939.0,37663.0,40525.0,42356.0,43588.0,43612.0,43617.0,45290.0,46976.0,48344.0,50239.0,51565.0,51566.0,51566.0,52632.0,53890.0,55330.0,56827.0,56828.0,56828.0,56828.0,59445.0,61491.0,63266.0,65182.0,66751.0,66757.0,66757.0,68688.0,71274.0,73470.0,75604.0,77405.0,77411.0,77411.0,79452.0,81910.0,84171.0,86366.0,88123.0,88127.0,88127.0,89442.0,91654.0,93873.0,95668.0,96451.0,96451.0,96451.0,97661.0,99100.0,100755.0,101848.0,102708.0,102772.0,102772.0,103531.0,104979.0
